0.00, 1.0000
1.00, 1.0000
2.00, 1.0000
3.00, 1.0000
4.00, 1.0000
5.00, 1.0000
6.00, 1.0000
7.00, 1.0000
8.00, 1.0000
9.00, 1.0000
10.00, 1.0000
11.00, 1.0000
12.00, 1.0000
13.00, 1.0000
14.00, 1.0000
15.00, 1.0000
16.00, 1.0000
17.00, 1.0000
18.00, 1.0000
19.00, 1.0000
20.00, 1.0000
21.00, 1.0000
22.00, 1.0000
23.00, 1.0000
24.00, 1.0000
25.00, 1.0000
26.00, 1.0000
27.00, 1.0000
28.00, 0.9000
29.00, 0.9000
30.00, 0.9000
31.00, 0.8000
32.00, 0.8000
33.00, 0.7000
34.00, 0.7000
35.00, 0.7000
36.00, 0.7000
37.00, 0.7000
38.00, 0.7000
39.00, 0.4000
40.00, 0.3000
41.00, 0.3000
42.00, 0.3000
43.00, 0.2000
44.00, 0.2000
45.00, 0.2000
46.00, 0.2000
47.00, 0.1000
48.00, 0.1000
49.00, 0.1111
50.00, 0.1667
51.00, 0.1667
52.00, 0.1667
53.00, 0.0000
54.00, 0.0000
